seed,episode,step,aif_action,stay_action,aif_reward,stay_reward,q_pi,G
0,0,10,3,1,-0.01,-0.01,"[0.00246548 0.00250886 0.0025084  0.00228245 0.02256017 0.00249539
 0.0024656  0.00249495 0.00223791 0.02243893 0.00260873 0.0025945
 0.00233658 0.0026313  0.02366122 0.00232093 0.00228604 0.00235875
 0.00235886 0.02121013 0.16237955 0.16179133 0.1636971  0.15066153
 0.23264531]","[-19.3991838  -19.39592721 -19.39596269 -19.41640559 -18.8464611
 -19.396869   -19.39897434 -19.39690261 -19.42062464 -18.84740307
 -19.38729755 -19.38845592 -19.41212076 -19.38590912 -18.83644202
 -19.4115076  -19.41473994 -19.40847915 -19.40847125 -18.85901424
 -18.30172784 -18.30246836 -18.30040431 -18.31831872 -18.21228466]"
0,0,11,3,1,-0.01,-0.01,"[0.0025043  0.00255406 0.00255499 0.00221675 0.0229685  0.00253305
 0.00250755 0.00253397 0.00219963 0.02277957 0.00166843 0.00165754
 0.00153426 0.00167945 0.01510333 0.00233111 0.0023157  0.0023646
 0.0023647  0.02126479 0.16602771 0.16493854 0.16716606 0.1467396
 0.23749181]","[-19.38827348 -19.38459218 -19.38452205 -19.41621605 -18.83511262
 -19.38616743 -19.38786559 -19.38609738 -19.41769695 -18.83668733
 -19.40170118 -19.40302545 -19.42041301 -19.40066105 -18.85117905
 -19.40444589 -19.40582982 -19.40179919 -19.40179297 -18.85231847
 -18.28937855 -18.2907113  -18.28833285 -18.317383   -18.20027813]"
0,0,12,2,1,-0.01,-0.01,"[0.00246327 0.00250252 0.00250298 0.00235528 0.02250753 0.00249143
 0.00246509 0.00249189 0.0023454  0.02240778 0.00170631 0.00170028
 0.00165745 0.00171845 0.01545575 0.00238117 0.00237246 0.00241339
 0.00241348 0.02170591 0.16357215 0.16299175 0.16479565 0.15639021
 0.23419241]","[-19.41305641 -19.41012946 -19.41009687 -19.42292377 -18.86063051
 -19.41096086 -19.41282644 -19.41092831 -19.42371527 -18.86146194
 -19.41800713 -19.41871347 -19.42420464 -19.4168185  -18.86731824
 -19.41950978 -19.4202658  -19.41702038 -19.41701484 -18.86752093
 -18.31374802 -18.31445756 -18.31251548 -18.32349442 -18.22440083]"
0,0,13,3,1,-0.01,-0.01,"[0.00244352 0.00245033 0.00237588 0.00245021 0.02203953 0.00244902
 0.00244373 0.00237364 0.0024489  0.02202775 0.00238898 0.00238716
 0.00239781 0.00239777 0.02156682 0.00248119 0.00248003 0.00248435
 0.00238788 0.02234556 0.16174539 0.16167788 0.15757894 0.16195666
 0.23022103]","[-19.42219123 -19.42179863 -19.42796613 -19.42180719 -18.87228875
 -19.42187425 -19.42215976 -19.42813033 -19.42188287 -18.87236441
 -19.42622373 -19.42636294 -19.42563405 -19.42563594 -18.87612588
 -19.41913016 -19.41920757 -19.41901276 -19.42713095 -18.86950269
 -18.3231996  -18.32326827 -18.32852053 -18.32305671 -18.23489254]"
0,0,14,4,1,-0.01,-0.01,"[0.00245032 0.00246557 0.0024657  0.00243228 0.02217785 0.00246345
 0.00245055 0.00246358 0.00243003 0.02215881 0.00172678 0.00172567
 0.00172026 0.00173298 0.01558823 0.00243093 0.00242906 0.00244603
 0.00244608 0.02200218 0.16259862 0.16249248 0.16321168 0.16148924
 0.23200162]","[-19.42620691 -19.4251609  -19.42515299 -19.42767056 -18.87564115
 -19.42530912 -19.42617521 -19.42530124 -19.42783492 -18.87578943
 -19.42706822 -19.4271863  -19.42778779 -19.42650236 -18.87698198
 -19.42756189 -19.4277096  -19.42650386 -19.42650111 -18.87698368
 -18.32676568 -18.32688581 -18.32617521 -18.32809535 -18.23800999]"
0,0,15,4,1,-0.01,-0.01,"[0.00551758 0.00552509 0.00552681 0.00537428 0.02630746 0.00552429
 0.0055178  0.00552604 0.00537271 0.02630361 0.00386012 0.00385966
 0.00378442 0.00386262 0.0183917  0.00541416 0.00541287 0.00542516
 0.00540564 0.02583169 0.16343074 0.16341077 0.16358794 0.15938502
 0.17244182]","[-19.00457396 -19.00442458 -19.00431117 -19.00994283 -18.60962772
 -19.00443993 -19.00456075 -19.00432555 -19.0099892  -18.60964314
 -19.00676658 -19.00678464 -19.01067782 -19.00671793 -18.61192108
 -19.00790174 -19.00794152 -19.00761139 -19.00818162 -18.61281424
 -18.08832659 -18.0883441  -18.08817822 -18.0934086  -18.07394306]"
0,0,16,1,1,-0.01,-0.01,"[0.00550568 0.00550971 0.00550914 0.00548437 0.02615022 0.00550941
 0.00550568 0.00550885 0.00548388 0.02614876 0.00388592 0.00388578
 0.00387398 0.00388763 0.01845145 0.00548822 0.00548784 0.00549306
 0.00548663 0.02607122 0.16272907 0.16272273 0.16278988 0.16214246
 0.17128844]","[-19.0090643  -19.00897894 -19.00898171 -19.0097435  -18.61482172
 -19.00898564 -19.00906284 -19.00898815 -19.00975647 -18.61482846
 -19.00939037 -19.00939543 -19.00990398 -19.00934348 -18.6151866
 -19.00955238 -19.00956289 -19.00943955 -19.00959816 -18.61528218
 -18.09306901 -18.09307433 -18.09302245 -18.09369287 -18.07920668]"
0,0,17,3,1,-0.01,-0.01,"[0.0011381  0.00162572 0.00162221 0.00154    0.01451811 0.00131607
 0.0013162  0.00131249 0.00124499 0.01175329 0.00190901 0.00116715
 0.00180765 0.00190723 0.01703195 0.00265982 0.00162728 0.00265698
 0.00258552 0.0237275  0.18244165 0.11153424 0.18183514 0.1725308
 0.2571909 ]","[-19.39046823 -19.31072367 -19.31103142 -19.32157385 -18.76252039
 -19.36910275 -19.36908696 -19.36954858 -19.38044089 -18.82089255
 -19.26669892 -19.37867235 -19.27739143 -19.2668812  -18.71867907
 -19.26906256 -19.38097822 -19.26927188 -19.27431052 -18.7210691
 -18.16314844 -18.27507135 -18.16367955 -18.17431004 -18.07673881]"
0,0,18,4,1,-0.01,-0.01,"[0.00245854 0.00246316 0.00246317 0.00246099 0.02207255 0.00246155
 0.00245868 0.00246157 0.00245936 0.02205818 0.00173962 0.00173878
 0.00174041 0.00174106 0.01560175 0.00245944 0.00245817 0.00246232
 0.00246235 0.02206503 0.16275366 0.16267447 0.16289098 0.16280125
 0.23059298]","[-19.42820384 -19.42792458 -19.42792406 -19.42803719 -18.87907284
 -19.42802415 -19.4281862  -19.42802362 -19.42813982 -18.87917248
 -19.42812085 -19.42819863 -19.42805251 -19.42801165 -18.87915995
 -19.42813694 -19.4282221  -19.42797521 -19.42797378 -18.8791235
 -18.32882667 -18.32890452 -18.32871539 -18.32877993 -18.24142011]"
0,0,19,4,1,-0.01,-0.01,"[0.00549401 0.00549818 0.0054981  0.00548335 0.02613342 0.00549699
 0.00549407 0.00549692 0.00548191 0.02612773 0.00388181 0.00388122
 0.00387567 0.0038832  0.01845724 0.00548434 0.0054832  0.00548772
 0.00548536 0.02608369 0.16267964 0.16265388 0.1627376  0.16235166
 0.1713691 ]","[-19.01022719 -19.0101332  -19.0101284  -19.01055275 -18.61567834
 -19.01016157 -19.01022233 -19.01015645 -19.0105897  -18.61570683
 -19.01036827 -19.01038981 -19.01061675 -19.01032941 -18.61587477
 -19.01048453 -19.01051525 -19.01040884 -19.01045769 -18.61595401
 -18.09389807 -18.09392026 -18.09385484 -18.09422755 -18.07983773]"
0,0,20,1,1,-0.01,-0.01,"[0.00551105 0.00551344 0.00551321 0.00550806 0.02612403 0.00551295
 0.00551106 0.00551273 0.00550746 0.0261217  0.00389577 0.00389553
 0.00389389 0.00389668 0.01846342 0.00550811 0.00550764 0.00551021
 0.00550875 0.02610868 0.16263919 0.16262881 0.1626731  0.16254587
 0.17098866]","[-19.00919815 -19.00914841 -19.00915057 -19.00927941 -18.6153421
 -19.00915943 -19.00919692 -19.00916143 -19.00929361 -18.61535318
 -19.00924507 -19.009253   -19.00931122 -19.00922049 -18.61541449
 -19.00926871 -19.00928039 -19.00922542 -19.00925294 -18.61541942
 -18.0934624  -18.09347085 -18.09343928 -18.09354584 -18.07985771]"
0,0,21,1,1,-0.01,-0.01,"[0.00133034 0.00167492 0.00167352 0.00164543 0.01493553 0.00167178
 0.00167187 0.00167007 0.00163874 0.01490771 0.00187277 0.00135456
 0.00183846 0.00187149 0.01668822 0.00263917 0.00190621 0.00263711
 0.00261247 0.02351528 0.17613653 0.12736364 0.17584583 0.17284393
 0.24805444]","[-19.41224225 -19.36208021 -19.36217898 -19.36525408 -18.81415952
 -19.39858889 -19.3985811  -19.39873033 -19.40229958 -18.85066567
 -19.33398843 -19.40593726 -19.33719172 -19.3341178  -18.7861988
 -19.33433644 -19.4066439  -19.33448598 -19.33597321 -18.78656663
 -18.23360535 -18.3055741  -18.23385433 -18.23696678 -18.14741514]"
0,0,22,1,1,-0.01,-0.01,"[0.00072433 0.0014565  0.00145429 0.00142157 0.01304296 0.00067002
 0.00067007 0.00066885 0.00065331 0.00600021 0.00201904 0.00080808
 0.00196184 0.00201639 0.01805628 0.00282924 0.00113674 0.00282496
 0.00277277 0.02529697 0.19094729 0.07643999 0.19037486 0.18595737
 0.26979608]","[-19.3477318  -19.1851572  -19.18537628 -19.18963252 -18.6364318
 -19.31539128 -19.31538189 -19.31567187 -19.32022197 -18.76666074
 -19.08142522 -19.29750666 -19.08669236 -19.08169164 -18.53297211
 -19.08325125 -19.29848723 -19.08355862 -19.08686677 -18.53483808
 -17.98019915 -18.19618458 -17.9807136  -17.9851109  -17.89329465]"
