seed,episode,step,aif_action,rand_action,aif_reward,rand_reward,q_pi,G
0,0,16,3,0,-0.01,0.2,"[0.00396826 0.00397277 0.0039361  0.00337784 0.01890366 0.0056846
 0.0056788  0.00561363 0.00479758 0.02704895 0.00625528 0.00623876
 0.00497863 0.00625934 0.02978407 0.00523879 0.00521212 0.00524226
 0.00519119 0.02494456 0.16702522 0.16693979 0.1655388  0.14206329
 0.17610572]","[-18.42229789 -18.42235966 -18.42404085 -18.45910108 -18.02769112
 -18.4198624  -18.41982396 -18.42216852 -18.45826631 -18.02519524
 -18.39876348 -18.39902421 -18.45139158 -18.39867864 -18.00400834
 -18.43969773 -18.44055396 -18.43961105 -18.44135094 -18.04493982
 -17.50537608 -17.5052838  -17.50702411 -17.54208057 -17.49112018]"
0,0,17,2,3,-0.01,0.2,"[0.00175487 0.00175769 0.00175771 0.00175429 0.01573794 0.00248775
 0.00248426 0.00248778 0.00248058 0.02227453 0.0017574  0.00175542
 0.00175517 0.00175765 0.01573757 0.00248436 0.00247953 0.00248476
 0.0024848  0.02224804 0.16446569 0.16427854 0.16449516 0.16416446
 0.23267406]","[-19.17528946 -19.17506621 -19.175065   -19.17535432 -18.62636701
 -19.1749105  -19.17510525 -19.17490886 -19.17535552 -18.62621299
 -19.17511353 -19.17527463 -19.17529687 -19.17509917 -18.62639902
 -19.17510046 -19.17539818 -19.17508348 -19.17508182 -18.62638292
 -18.07573378 -18.0758959  -18.0757151  -18.0760102  -17.98859554]"
0,0,18,1,1,-0.01,-0.01,"[0.00176233 0.001762   0.00161109 0.00176179 0.01580881 0.00250622
 0.0025062  0.0022802  0.00250586 0.02248608 0.00236642 0.00236036
 0.00236701 0.00236697 0.02123693 0.00263555 0.00263839 0.0026363
 0.0023173  0.02365311 0.16509798 0.16517354 0.15097998 0.16511474
 0.23406483]","[-19.39282019 -19.39301116 -19.41259845 -19.39303416 -18.84393589
 -19.39176406 -19.39163319 -19.41242819 -19.39179264 -18.84268907
 -19.40328704 -19.40369231 -19.40325668 -19.40325838 -18.85418074
 -19.38063862 -19.38029301 -19.38060504 -19.4093788  -18.83153055
 -18.29353675 -18.29334267 -18.31310672 -18.29353579 -18.20594946]"
0,0,19,2,3,0.2,-0.01,"[0.00176702 0.00176626 0.00175507 0.00159352 0.01586456 0.00251003
 0.00251026 0.00248949 0.00225396 0.02254578 0.00265237 0.00264902
 0.00229073 0.00265233 0.0238232  0.00236661 0.00235915 0.00236657
 0.00235057 0.02125645 0.16560621 0.16560309 0.1645486  0.14939879
 0.23502036]","[-18.02493907 -18.02513967 -18.02625187 -18.04786348 -17.47586936
 -18.02395838 -18.02394087 -18.02541891 -18.04771685 -17.47468068
 -18.01154155 -18.01158587 -18.04453436 -18.01154359 -17.46227434
 -18.03631547 -18.03679616 -18.03631762 -18.03749642 -17.48704918
 -16.92559595 -16.92544822 -16.92671283 -16.94833023 -16.83777244]"
0,0,20,4,2,0.5,-0.01,"[0.00175093 0.00175579 0.00173424 0.00175586 0.01577948 0.00248412
 0.00248164 0.00244869 0.00248424 0.0223251  0.00246442 0.00245321
 0.00246472 0.00246469 0.02215097 0.00175022 0.00174496 0.00175037
 0.00173536 0.0157308  0.16471216 0.16421662 0.16269724 0.16473675
 0.2339274 ]","[-19.37314406 -19.37273667 -19.37504025 -19.37273071 -18.82336814
 -19.37255277 -19.37267143 -19.37524778 -19.37254571 -18.82318376
 -19.37388271 -19.37465012 -19.37387502 -19.37387668 -18.8245017
 -19.37341401 -19.37389236 -19.37341034 -19.3749579  -18.82404107
 -18.2731432  -18.27361755 -18.27544478 -18.27313148 -18.18518132]"
0,0,21,1,2,0.2,-0.01,"[0.00649707 0.00651522 0.00458561 0.00652635 0.01634317 0.00953304
 0.00951841 0.00657684 0.0095411  0.023913   0.00828271 0.00815907
 0.00796951 0.00829084 0.02079679 0.00538193 0.00537154 0.00538572
 0.00406484 0.01350974 0.18624348 0.18584156 0.13117737 0.1866733
 0.1233018 ]","[-17.8114424  -17.81143106 -17.89409303 -17.81071629 -17.57534928
 -17.80429086 -17.8042099  -17.89162937 -17.80374318 -17.56821166
 -17.85151228 -17.85432135 -17.85946014 -17.85139007 -17.6153134
 -17.84809427 -17.84811157 -17.84800946 -17.91322697 -17.61192998
 -17.05828984 -17.05829954 -17.14085658 -17.05750916 -17.16000519]"
0,0,22,3,3,-0.01,-0.01,"[0.00338419 0.00338545 0.0032972  0.0033854  0.01016079 0.00479558
 0.00479557 0.0046607  0.00479532 0.01439379 0.00471458 0.00470364
 0.00468419 0.00471451 0.01415103 0.00335594 0.00335327 0.00335591
 0.00328122 0.01007304 0.1932361  0.19307894 0.18819507 0.19322388
 0.1188247 ]","[-16.79577643 -16.79577553 -16.80106303 -16.79572584 -16.51493037
 -16.79533782 -16.79534134 -16.80105618 -16.79529247 -16.51447889
 -16.79834852 -16.79868564 -16.79946553 -16.79835021 -16.51748193
 -16.79750008 -16.79756867 -16.79750114 -16.8018927  -16.51663325
 -15.92124242 -15.92130539 -15.92652886 -15.92119912 -16.04196016]"
0,0,23,1,0,-0.01,-0.01,"[0.00378393 0.00379322 0.00379331 0.00377888 0.01632234 0.00536269
 0.00535891 0.0053628  0.00533572 0.02307621 0.00538437 0.00536872
 0.00535502 0.00538469 0.02317059 0.00535611 0.00533484 0.00535633
 0.00535651 0.02304899 0.17683173 0.17633061 0.17683887 0.17616288
 0.12875173]","[-18.97003074 -18.96966436 -18.96966051 -18.9702775  -18.60029251
 -18.96964872 -18.96973234 -18.96964489 -18.97048526 -18.60027226
 -18.96903454 -18.96949633 -18.96996344 -18.96903648 -18.59966315
 -18.96982374 -18.9704821  -18.9698269  -18.96982164 -18.60044935
 -18.15190788 -18.15235822 -18.15191094 -18.15252634 -18.22913651]"
0,0,24,3,0,-0.01,-0.01,"[0.00430163 0.00430414 0.00196397 0.00418634 0.02008654 0.00629513
 0.00629727 0.00282196 0.00607195 0.02937715 0.0030644  0.00301975
 0.00298939 0.00306417 0.01429681 0.01233191 0.01218935 0.01233111
 0.00451594 0.05754146 0.18790328 0.18727531 0.08571143 0.18269945
 0.14536015]","[-17.11153144 -17.11188226 -17.30303371 -17.11756041 -16.72417491
 -17.10398858 -17.10391648 -17.29943269 -17.11144494 -16.71628784
 -17.26534616 -17.26802963 -17.27021825 -17.26535752 -16.87769993
 -16.94704947 -16.9488708  -16.94705922 -17.19397352 -16.55937022
 -16.31196434 -16.31209701 -16.50318283 -16.3176972  -16.37488105]"
0,0,25,4,2,-0.01,-0.01,"[0.00405876 0.00409446 0.00409516 0.0038499  0.01947535 0.00582774
 0.00581147 0.00582887 0.00541368 0.02771877 0.00401053 0.00397276
 0.00384258 0.00401124 0.01907927 0.00561522 0.00551029 0.0056164
 0.00561662 0.02671405 0.17594446 0.17421587 0.17601053 0.16540101
 0.138265  ]","[-19.14023695 -19.1387888  -19.13875799 -19.15189197 -18.74712989
 -19.13701505 -19.13738138 -19.13697934 -19.15278248 -18.74536439
 -19.14343916 -19.14511947 -19.15233773 -19.143442   -18.75178627
 -19.14429248 -19.14794256 -19.14429174 -19.14428608 -18.75263635
 -18.34343956 -18.34518325 -18.34341308 -18.35660799 -18.40296899]"
