seed,episode,step,aif_action,stay_action,aif_reward,stay_reward,q_pi,G
1,0,0,4,1,-0.01,-0.01,"[0.0024737  0.0024737  0.0024737  0.0024737  0.02228971 0.00174917
 0.00174917 0.00174917 0.00174917 0.01576103 0.0024737  0.0024737
 0.0024737  0.0024737  0.02228971 0.00174917 0.00174917 0.00174917
 0.00174917 0.01576103 0.16389466 0.16389279 0.16389466 0.16389279
 0.23454067]","[-19.43057984 -19.43057984 -19.43057985 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -19.43057985 -19.43057984 -19.43057984 -19.43057984 -18.88097765
 -19.43057985 -19.43057985 -19.43057985 -19.43057985 -18.88098032
 -18.33151953 -18.33152238 -18.33151953 -18.33152238 -18.24202295]"
1,0,1,4,1,-0.01,-0.01,"[0.00555682 0.00555638 0.00555689 0.00555636 0.02647782 0.00392854
 0.0039289  0.00392886 0.00392853 0.01872001 0.00555689 0.00555636
 0.00555682 0.00555638 0.02647782 0.00392886 0.00392853 0.00392854
 0.0039289  0.01872001 0.16480385 0.16476061 0.16480385 0.16476061
 0.17459282]","[-19.01296045 -19.0129794  -19.01295737 -19.01297949 -18.61818583
 -19.01300121 -19.01297994 -19.01298287 -19.0130014  -18.61821375
 -19.01295737 -19.01297949 -19.01296045 -19.0129794  -18.61818583
 -19.01298287 -19.0130014  -19.01300121 -19.01297994 -18.61821375
 -18.09669733 -18.0967564  -18.09669733 -18.0967564  -18.08124683]"
1,0,2,3,1,-0.01,-0.01,"[0.00555236 0.0055521  0.00555236 0.00555208 0.02648245 0.00392561
 0.0039258  0.00392576 0.00392559 0.018724   0.00555236 0.00555208
 0.00555236 0.0055521  0.02648245 0.00392576 0.00392559 0.00392561
 0.0039258  0.018724   0.16486839 0.16483976 0.16486839 0.16483976
 0.17434749]","[-19.01273415 -19.01274633 -19.01273356 -19.01274651 -18.61769145
 -19.01276157 -19.01274903 -19.01275164 -19.01276182 -18.61771063
 -19.01273356 -19.01274651 -19.01273415 -19.01274633 -18.61769145
 -19.01275164 -19.01276182 -19.01276157 -19.01274903 -18.61771063
 -18.09609584 -18.09613618 -18.09609584 -18.09613618 -18.0810714 ]"
1,0,3,1,1,-0.01,-0.01,"[0.00245273 0.00245275 0.00245276 0.00245269 0.02207832 0.00173431
 0.00173429 0.00173431 0.00173429 0.0156113  0.00245278 0.0024528
 0.00245276 0.00245281 0.02207885 0.00245267 0.00245271 0.00245272
 0.00245273 0.022078   0.16261033 0.16260894 0.16261131 0.16261028
 0.23134255]","[-19.42981865 -19.42981873 -19.42981827 -19.42982    -18.88018012
 -19.42982182 -19.42982191 -19.42982143 -19.42982194 -18.8801836
 -19.42981797 -19.42981801 -19.42981876 -19.42981773 -18.88017948
 -19.42982074 -19.42981988 -19.42981963 -19.42981922 -18.88018097
 -18.33040071 -18.33040507 -18.33040261 -18.33040032 -18.24207576]"
1,0,4,4,1,-0.01,-0.01,"[0.00284978 0.00288697 0.00101167 0.00291896 0.02593463 0.00283574
 0.00283558 0.0009956  0.002873   0.02546821 0.00052802 0.00052268
 0.00052471 0.00052803 0.00473115 0.00139083 0.00138172 0.00139069
 0.00060871 0.01250534 0.18971491 0.18798879 0.06637381 0.19186162
 0.26933883]","[-19.01038998 -19.00822972 -19.25761388 -19.00578332 -18.45886718
 -19.01143312 -19.01144601 -19.2604477  -19.00851441 -18.46211541
 -19.29597883 -19.29771834 -19.29701266 -19.29597674 -18.74710472
 -19.13281303 -19.1337125  -19.13283442 -19.32668831 -18.58329104
 -17.90993054 -17.91139123 -18.15969332 -17.90744136 -17.82201041]"
1,0,5,2,1,-0.01,-0.01,"[0.00539683 0.00563657 0.00091741 0.00544487 0.0266571  0.00351796
 0.00294057 0.00291036 0.00345376 0.01665635 0.00089243 0.00534805
 0.00527909 0.0055203  0.02611109 0.0028905  0.00327055 0.00333613
 0.00284241 0.01579574 0.15528255 0.17707664 0.15571436 0.17739196
 0.18971643]","[-17.60585631 -17.59736103 -18.05070266 -17.60466255 -17.20397566
 -17.68747293 -17.72770226 -17.72983742 -17.69107849 -17.29384009
 -18.05751187 -17.60917875 -17.61134256 -17.60255491 -17.20913286
 -17.73177108 -17.70392979 -17.69991609 -17.73498629 -17.30628029
 -16.70008882 -16.6702589  -16.69901912 -16.66978615 -16.65283626]"
1,0,6,0,1,-0.01,-0.01,"[0.00233843 0.00236268 0.00233486 0.00236281 0.02095332 0.0029511
 0.00222443 0.0029247  0.00295126 0.02616144 0.00209098 0.00254809
 0.00258936 0.00258895 0.02295209 0.00147678 0.00178845 0.00180682
 0.00180356 0.01601746 0.13765243 0.16667127 0.16777894 0.16842851
 0.23624127]","[-19.38511327 -19.38326534 -19.38539422 -19.38325688 -18.83643863
 -19.33040138 -19.39619337 -19.33178866 -19.33039315 -18.78366738
 -19.40727735 -19.361326   -19.35828361 -19.35831396 -18.81156529
 -19.40771121 -19.36337085 -19.36149342 -19.36155995 -18.81475356
 -18.30867309 -18.26438254 -18.26288637 -18.26246364 -18.1771619 ]"
1,0,7,2,1,-0.01,-0.01,"[0.00257068 0.00257034 0.00219703 0.0025759  0.02300306 0.00179746
 0.00179044 0.00155422 0.00180222 0.0160864  0.0023673  0.00240286
 0.0023704  0.00240269 0.0215016  0.00168758 0.00169881 0.00169873
 0.00151667 0.01520263 0.16784755 0.16898056 0.14606468 0.16938485
 0.23892533]","[-19.38012953 -19.38015422 -19.41554785 -19.37950472 -18.83154765
 -19.38306044 -19.38354729 -19.41582135 -19.38233681 -18.83445225
 -19.3992477  -19.39650175 -19.3990129  -19.39651247 -18.84791707
 -19.39595556 -19.39493783 -19.39494526 -19.41997417 -18.84633975
 -18.28374772 -18.28274486 -18.31556024 -18.28206228 -18.1956959 ]"
1,0,8,0,1,-0.01,-0.01,"[0.00241956 0.00243206 0.00241832 0.00243213 0.02184302 0.00174013
 0.0016765  0.0017358  0.00174016 0.01562893 0.0023795  0.00250847
 0.00250658 0.00250643 0.02251146 0.00168463 0.00176845 0.00176684
 0.00176423 0.01586893 0.15810125 0.16597635 0.16542245 0.16584184
 0.23532598]","[-19.42226286 -19.42140793 -19.42234612 -19.42140403 -18.87214983
 -19.41976765 -19.42734808 -19.42009777 -19.41976497 -18.87050579
 -19.42657555 -19.41545487 -19.4156852  -19.41569472 -18.8664329
 -19.42652603 -19.41632414 -19.41656905 -19.41671883 -18.86730616
 -18.32678987 -18.31658025 -18.31713262 -18.31681082 -18.22901268]"
1,0,9,3,1,-0.01,-0.01,"[0.00248345 0.00248341 0.0024602  0.00248326 0.02231765 0.00175509
 0.00175392 0.00174076 0.0017551  0.01577253 0.00246536 0.00247027
 0.00246578 0.00247025 0.02219935 0.00174925 0.00175103 0.00175102
 0.00173901 0.01573591 0.16435595 0.16452622 0.1631739  0.16452145
 0.23361986]","[-19.42717755 -19.42718014 -19.42886926 -19.42716975 -18.87781754
 -19.42735567 -19.42742782 -19.42882221 -19.42733631 -18.87799305
 -19.42835618 -19.4280675  -19.42833252 -19.42806879 -18.87870661
 -19.42789331 -19.42776551 -19.42776639 -19.42895602 -18.87840391
 -18.32800046 -18.32787504 -18.32934777 -18.32785981 -18.23993389]"
1,0,10,2,1,-0.01,-0.01,"[0.00244722 0.00244882 0.00244882 0.00244222 0.02201458 0.00173508
 0.0017271  0.0017351  0.00173234 0.01559818 0.00244782 0.00246265
 0.00245667 0.00246246 0.02213732 0.00243945 0.00245726 0.00245699
 0.00245703 0.02208807 0.16194289 0.16291465 0.16290226 0.16263651
 0.23140848]","[-19.42856673 -19.42848678 -19.4284867  -19.42889971 -18.87906398
 -19.42825498 -19.4290199  -19.4282538  -19.42847693 -18.87883184
 -19.4286901  -19.42764139 -19.42801038 -19.42766541 -18.87824153
 -19.42918433 -19.42790056 -19.42793091 -19.42792895 -18.878508
 -18.32953732 -18.32849678 -18.32851895 -18.3287455  -18.24049364]"
1,0,11,3,1,-0.01,-0.01,"[0.00246536 0.00247092 0.00246339 0.00247096 0.02221818 0.00175019
 0.00173835 0.00174724 0.00175021 0.01573755 0.00245831 0.00248095
 0.0024814  0.00248135 0.02231199 0.00174021 0.00175362 0.00175377
 0.00175171 0.01576967 0.16322686 0.164489   0.1642222  0.16451079
 0.23375581]","[-19.42831152 -19.42797408 -19.42844477 -19.42797219 -18.87851348
 -19.42780253 -19.42897047 -19.42803918 -19.4278012  -18.87834118
 -19.42893395 -19.42726423 -19.42725552 -19.42725812 -18.87779753
 -19.42883245 -19.42744795 -19.42745332 -19.42760288 -18.87799273
 -18.32928155 -18.32789327 -18.32813364 -18.32789323 -18.23981154]"
1,0,12,0,1,-0.01,-0.01,"[0.00245653 0.00245795 0.00245793 0.00243544 0.02210451 0.00173727
 0.00173466 0.00173726 0.00172353 0.01562339 0.00246595 0.00246984
 0.00244183 0.00247011 0.0222139  0.00243785 0.00244405 0.00244428
 0.00244431 0.02198157 0.16266269 0.16292164 0.16293607 0.16163926
 0.23155816]","[-19.42760714 -19.42754679 -19.42754855 -19.42919526 -18.87806369
 -19.42768027 -19.42788153 -19.42768129 -19.42909531 -18.87819718
 -19.42693403 -19.42671197 -19.42882204 -19.42670287 -18.87721963
 -19.4288584  -19.42845849 -19.42845077 -19.42844961 -18.87896779
 -18.32841396 -18.32818344 -18.32817648 -18.32959721 -18.24006117]"
1,0,13,2,1,-0.01,-0.01,"[0.00266136 0.00266067 0.00157795 0.00260511 0.02393145 0.00183832
 0.00184049 0.00110524 0.00180957 0.01653477 0.00201635 0.00203418
 0.00200907 0.00203408 0.01829528 0.0041057  0.00412614 0.00412597
 0.00209046 0.03711105 0.17283346 0.17287342 0.10392951 0.17013561
 0.24571477]","[-19.22614975 -19.22620466 -19.35123037 -19.23039832 -18.676693
 -19.23116566 -19.23059417 -19.35294603 -19.2342692  -18.68165513
 -19.30667044 -19.3051432  -19.30742763 -19.30514974 -18.75564249
 -19.13566888 -19.13512357 -19.13512935 -19.29969463 -18.58561859
 -18.13078933 -18.13114363 -18.25292334 -18.13427723 -18.04299534]"
