seed,episode,stepaif_action,ql_action,aif_reward,ql_reward,q_pi,G
0,1,1,3,4,-0.01,-0.01,"[4.19243305e-09 4.41416856e-09 1.50472134e-09 4.42386299e-09
 2.74461970e-05 2.61913446e-09 2.38492705e-09 1.06927262e-09
 2.62431697e-09 1.62864193e-05 2.18583364e-09 2.71449659e-09
 2.73091165e-09 2.73018850e-09 1.69727575e-05 1.60784909e-09
 1.73769038e-09 1.74377873e-09 9.32280563e-10 1.08440496e-05
 1.26653035e-01 1.38631709e-01 5.67472278e-02 1.39428650e-01
 5.38467790e-01]","[-17.28414891 -17.2812167  -17.34716719 -17.28108697 -16.73493393
 -17.29191289 -17.29733119 -17.34676363 -17.2917964  -16.74562543
 -17.3257652  -17.31278473 -17.31245826 -17.31247307 -16.76620081
 -17.32070529 -17.31617742 -17.31600113 -17.35415057 -16.76970926
 -16.19450453 -16.18921017 -16.24392504 -16.18890709 -16.10426448]"
0,1,2,4,2,-0.01,-0.01,"[3.59532625e-09 3.62397526e-09 3.62353154e-09 3.28612806e-09
 2.32490050e-05 2.51575064e-09 2.49001586e-09 2.51554983e-09
 2.33504685e-09 1.61406213e-05 3.74663976e-09 3.77925203e-09
 3.38973037e-09 3.78396827e-09 2.42754887e-05 3.34279201e-09
 3.42547118e-09 3.42948443e-09 3.42970997e-09 2.20021299e-05
 1.25463745e-01 1.26448255e-01 1.26562035e-01 1.17436501e-01
 5.04003743e-01]","[-19.31291256 -19.31249304 -19.3125     -19.31822742 -18.76437373
 -19.31360893 -19.31415656 -19.31361349 -19.31796304 -18.76548483
 -19.31052764 -19.31005937 -19.31647608 -19.30999858 -18.7618791
 -19.31707952 -19.31569087 -19.31563155 -19.31562817 -18.76750976
 -18.21453952 -18.21411803 -18.21407543 -18.21844271 -18.12757855]"
0,1,3,2,0,-0.01,-0.01,"[1.41018169e-07 1.44489405e-07 3.58088371e-08 1.18235211e-07
 7.75678769e-05 8.89616329e-08 8.62800286e-08 2.34857968e-08
 7.71439467e-08 4.77585755e-05 6.95443932e-08 7.40749128e-08
 6.25245651e-08 7.45783542e-08 4.00380526e-05 3.14058732e-07
 3.36134311e-07 3.38369233e-07 5.42063501e-08 1.81652900e-04
 2.24287200e-01 2.29223891e-01 6.08256498e-02 1.99508255e-01
 2.85805948e-01]","[-17.38880158 -17.38751788 -17.47334548 -17.39944807 -16.99345103
 -17.39581716 -17.39744368 -17.47776425 -17.4042623  -17.00174992
 -17.43603882 -17.43237494 -17.44248036 -17.43200561 -17.03793666
 -17.34143266 -17.3375234  -17.33716083 -17.45021986 -16.94309322
 -16.47884988 -16.47768424 -16.5593496  -16.48593245 -16.46366622]"
0,1,4,4,2,-0.01,-0.01,"[3.53875692e-09 3.57412477e-09 3.47639540e-09 3.57446201e-09
 2.29263982e-05 2.50523284e-09 2.47710914e-09 2.46130390e-09
 2.50541511e-09 1.60697505e-05 3.47304901e-09 3.53022563e-09
 3.53430106e-09 3.53409665e-09 2.26693004e-05 2.47729827e-09
 2.49642291e-09 2.49857224e-09 2.46781561e-09 1.60272059e-05
 1.24585429e-01 1.25579537e-01 1.23451478e-01 1.25716815e-01
 5.00588999e-01]","[-17.57277428 -17.57223388 -17.57380164 -17.57222893 -17.02412071
 -17.57275753 -17.57337078 -17.57374728 -17.57275376 -17.02464509
 -17.57382618 -17.57290967 -17.57285063 -17.57285357 -17.02474133
 -17.5733969  -17.57297636 -17.57293397 -17.57361575 -17.02482083
 -16.47385672 -16.47342216 -16.47438217 -16.47336781 -16.38687502]"
0,1,5,4,0,-0.01,-0.01,"[1.15751301e-07 1.15994178e-07 8.56493899e-08 1.16958815e-07
 6.23320455e-05 7.99687060e-08 7.98758455e-08 6.00437385e-08
 8.05777898e-08 4.29714728e-05 9.71723264e-08 9.81158047e-08
 9.67114696e-08 9.82314159e-08 5.27802380e-05 7.22606071e-08
 7.22413596e-08 7.22954344e-08 5.83947532e-08 3.88492624e-05
 1.99976005e-01 1.99864280e-01 1.50155423e-01 2.01543787e-01
 2.48262173e-01]","[-18.90662938 -18.90655928 -18.92481777 -18.90603728 -18.51243411
 -18.90806742 -18.90807716 -18.92532245 -18.90759542 -18.51394441
 -18.91690419 -18.91637427 -18.91717819 -18.91631626 -18.52219891
 -18.91412957 -18.91418043 -18.9141452  -18.92691544 -18.52002052
 -17.99163072 -17.99170006 -18.00892789 -17.99119068 -17.97788267]"
0,1,6,4,2,-0.01,-0.01,"[1.10547148e-07 1.10749151e-07 1.07453674e-07 1.10776440e-07
 5.89218408e-05 7.79143204e-08 7.77810668e-08 7.58368309e-08
 7.79455273e-08 4.14534855e-05 1.08314613e-07 1.08638651e-07
 1.08241968e-07 1.08682311e-07 5.78249570e-05 7.72100854e-08
 7.72859244e-08 7.73074806e-08 7.56638737e-08 4.11301340e-05
 1.91823395e-01 1.91990720e-01 1.86925328e-01 1.92119535e-01
 2.36940201e-01]","[-18.99927094 -18.99918472 -19.00090582 -18.99916294 -18.60565668
 -18.99947431 -18.99955286 -19.00101381 -18.99944576 -18.60594512
 -19.00039532 -19.00023933 -19.0004324  -19.00022074 -18.60668974
 -18.99998455 -18.99993927 -18.99992662 -19.00113631 -18.60639819
 -18.08395059 -18.08391194 -18.08543761 -18.08387127 -18.07048727]"
0,1,7,1,1,-0.01,-0.01,"[1.10811882e-07 1.10923307e-07 1.10246336e-07 1.10905668e-07
 5.86210841e-05 7.82933091e-08 7.82161547e-08 7.78956033e-08
 7.82877743e-08 4.13765845e-05 1.10366450e-07 1.10509517e-07
 1.10356960e-07 1.10530402e-07 5.84136683e-05 7.81355633e-08
 7.81806246e-08 7.81909345e-08 7.78433000e-08 4.13224248e-05
 1.91285009e-01 1.91391430e-01 1.90441968e-01 1.91402673e-01
 2.35277677e-01]","[-19.00610738 -19.00606012 -19.00638861 -19.00606595 -18.61293428
 -19.00615828 -19.00620415 -19.00643103 -19.00615995 -18.61303259
 -19.00632015 -19.00625527 -19.00632475 -19.00624689 -18.61312081
 -19.00626275 -19.00623557 -19.00622984 -19.00646494 -18.61310424
 -18.09108063 -18.09105475 -18.09132227 -18.09105083 -18.07786938]"
0,1,8,4,3,-0.01,-0.01,"[3.59740741e-09 3.60012017e-09 3.59443762e-09 3.59980790e-09
 2.28248176e-05 3.59731558e-09 3.59744504e-09 3.58984552e-09
 3.59699914e-09 2.28070230e-05 3.59518653e-09 3.59154900e-09
 3.59238631e-09 3.59506110e-09 2.27927478e-05 2.54222339e-09
 2.54087125e-09 2.54214296e-09 2.53838042e-09 1.61172305e-05
 1.25980749e-01 1.25910599e-01 1.25779731e-01 1.25966578e-01
 4.96277748e-01]","[-19.05536824 -19.05533293 -19.05541247 -19.05533633 -18.50790275
 -19.05536646 -19.05536466 -19.0554725  -19.0553701  -18.50793631
 -19.05539801 -19.05544682 -19.05543538 -19.0553998  -18.5079696
 -19.05539949 -19.05542411 -19.0554011  -19.05547491 -18.5079709
 -17.95666848 -17.95669433 -17.95674932 -17.95667361 -17.87082532]"
0,1,9,4,4,-0.01,-0.01,"[2.23953068e-13 2.41058449e-13 2.01776591e-13 2.37225853e-13
 1.28820331e-10 3.37229424e-09 5.17149952e-12 2.77087633e-09
 3.33311390e-09 1.80244376e-06 1.05070857e-10 1.15859414e-07
 1.05839016e-07 1.20911985e-07 6.46005971e-05 7.73011339e-11
 9.00541937e-08 9.14565224e-08 7.60202790e-08 4.88620704e-05
 2.12284895e-04 2.42269188e-01 2.08989341e-01 2.43779087e-01
 3.04634224e-01]","[-16.98456091 -16.98032083 -16.99084566 -16.98122995 -16.58652333
 -16.40441258 -16.80759336 -16.4159861  -16.40506516 -16.01060577
 -16.62473318 -16.18770518 -16.1929815  -16.18522022 -15.79143655
 -16.622151   -16.18179742 -16.18093095 -16.19175601 -15.7871487
 -15.70023175 -15.26113529 -15.26985372 -15.26078216 -15.24665494]"
0,1,10,4,4,-0.01,-0.01,"[7.66914474e-08 7.85097836e-08 7.49502657e-08 7.81599542e-08
 4.15344463e-05 2.72964138e-07 6.32029522e-08 2.67076896e-07
 2.71780973e-07 1.44429083e-04 4.53941635e-08 1.31532689e-07
 1.36088973e-07 1.37910097e-07 7.29532208e-05 3.08842743e-08
 8.51948721e-08 8.76678609e-08 8.68708093e-08 4.63791501e-05
 7.74861106e-02 2.13645923e-01 2.18937854e-01 2.19274038e-01
 2.70348854e-01]","[-18.84612004 -18.84481376 -18.84747272 -18.84505403 -18.45162387
 -18.76729697 -18.85738078 -18.7684335  -18.76752987 -18.37409792
 -18.87601409 -18.81057498 -18.80850546 -18.80784437 -18.41465971
 -18.87819173 -18.81582208 -18.81418048 -18.81457215 -18.42099091
 -17.96162332 -17.89928227 -17.89776896 -17.89777795 -17.88444091]"
