episode,step,action,reward,total_reward
3,40,4,-0.01,28.719999999999985
3,41,0,-0.01,28.709999999999983
3,42,4,-0.01,28.69999999999998
3,43,4,-0.01,28.68999999999998
3,44,0,-0.01,28.67999999999998
3,45,1,-0.01,28.669999999999977
3,46,5,-0.01,28.659999999999975
3,47,2,-0.01,28.649999999999974
3,48,4,-0.01,28.639999999999972
3,49,3,-0.01,28.62999999999997
3,50,1,-0.01,28.61999999999997
3,51,2,2.0,30.61999999999997
3,52,4,-0.01,30.609999999999967
3,53,2,2.0,32.60999999999997
3,54,4,-0.01,32.59999999999997
3,55,3,-0.01,32.589999999999975
3,56,2,2.0,34.589999999999975
3,57,4,-0.01,34.57999999999998
3,58,4,-0.01,34.56999999999998
3,59,2,2.0,36.56999999999998
3,60,2,2.0,38.56999999999998
3,61,2,2.0,40.56999999999998
3,62,3,-0.01,40.55999999999998
